DriverNumber,GridPosition,year
44,1.0,2020
33,3.0,2020
23,4.0,2020
4,9.0,2020
55,15.0,2020
10,8.0,2020
3,6.0,2020
77,2.0,2020
31,7.0,2020
16,12.0,2020
26,10.0,2020
63,14.0,2020
5,11.0,2020
6,20.0,2020
7,17.0,2020
99,16.0,2020
20,18.0,2020
11,5.0,2020
18,13.0,2020
8,19.0,2020
