DriverNumber,GridPosition,year
5,1.0,2018
77,3.0,2018
44,9.0,2018
10,5.0,2018
20,6.0,2018
27,7.0,2018
14,13.0,2018
2,14.0,2018
9,17.0,2018
31,8.0,2018
55,10.0,2018
16,19.0,2018
8,16.0,2018
18,20.0,2018
35,18.0,2018
11,12.0,2018
28,11.0,2018
7,2.0,2018
33,15.0,2018
3,4.0,2018
