DriverNumber,GridPosition,year
44,3.0,2019
77,4.0,2019
16,1.0,2019
33,5.0,2019
5,2.0,2019
4,9.0,2019
7,8.0,2019
10,13.0,2019
23,12.0,2019
11,14.0,2019
99,16.0,2019
26,15.0,2019
20,6.0,2019
18,18.0,2019
63,19.0,2019
88,20.0,2019
27,17.0,2019
3,10.0,2019
55,7.0,2019
8,11.0,2019
