DriverNumber,GridPosition,year
44,2.0,2021
33,1.0,2021
77,3.0,2021
4,7.0,2021
11,0.0,2021
16,4.0,2021
3,6.0,2021
55,8.0,2021
22,13.0,2021
18,10.0,2021
7,14.0,2021
99,12.0,2021
31,16.0,2021
63,15.0,2021
5,20.0,2021
47,18.0,2021
10,5.0,2021
6,17.0,2021
14,9.0,2021
9,19.0,2021
