DriverNumber,GridPosition,year
1,1.0,2023
11,2.0,2023
14,5.0,2023
55,4.0,2023
44,7.0,2023
18,8.0,2023
63,6.0,2023
77,12.0,2023
10,20.0,2023
23,15.0,2023
22,14.0,2023
2,16.0,2023
20,17.0,2023
21,19.0,2023
27,10.0,2023
24,13.0,2023
4,11.0,2023
31,9.0,2023
16,3.0,2023
81,18.0,2023
