DriverNumber,GridPosition,year
16,1.0,2022
55,3.0,2022
44,5.0,2022
63,9.0,2022
20,7.0,2022
77,6.0,2022
31,11.0,2022
22,16.0,2022
14,8.0,2022
24,15.0,2022
47,12.0,2022
18,19.0,2022
23,14.0,2022
3,18.0,2022
4,13.0,2022
6,20.0,2022
27,17.0,2022
11,4.0,2022
1,2.0,2022
10,10.0,2022
