year,DriverNumber,avg_lap_time_first_half,num_pit_stops_first_half,avg_delta_to_stint_avg,total_time_first_half,main_compound,FinalPosition,total_stints_so_far,position_at_lap25,pit_in_last_5_laps
2020,99,109.1005,3,0.3303044077134944,2400.211,MEDIUM,16.0,3,16.0,True
2021,3,101.92516666666667,2,0.23006359649122388,2446.204,MEDIUM,6.0,2,6.0,False
2021,4,101.54008333333333,2,0.21388888888888738,2436.962,MEDIUM,4.0,2,4.0,False
2021,5,105.49256,2,0.751864516129043,2637.314,MEDIUM,17.0,2,17.0,True
2021,6,105.2236,2,0.06059555555555235,2630.59,SOFT,16.0,2,16.0,False
2021,7,104.37516,2,0.18439999999999823,2609.379,MEDIUM,10.0,2,10.0,False
2021,10,104.1105,4,0.590366666666671,2498.652,HARD,19.0,3,19.0,True
2021,11,104.09451999999999,5,1.4812122222222308,2602.363,HARD,8.0,2,8.0,True
2021,14,102.54175,2,0.07561111111110713,2461.002,MEDIUM,11.0,2,11.0,False
2021,16,101.51416666666667,2,0.13236041666666645,2436.34,MEDIUM,5.0,2,5.0,False
2021,18,104.06468000000001,2,0.042544999999998945,2601.617,MEDIUM,7.0,2,7.0,False
2021,22,104.49824000000001,2,0.3164977777777779,2612.456,MEDIUM,12.0,2,12.0,False
2021,31,104.62116,2,0.2206400000000042,2615.529,SOFT,13.0,2,13.0,False
2021,33,100.37341666666667,2,0.41398484848485023,2408.962,MEDIUM,2.0,2,2.0,False
2021,44,100.280625,2,0.03879166666666064,2406.735,HARD,1.0,2,1.0,False
2021,47,105.97612,2,0.23167157894736534,2649.403,MEDIUM,18.0,2,18.0,False
2021,55,104.15324000000001,2,0.4288327272727291,2603.831,SOFT,9.0,2,9.0,False
2021,63,104.85784,2,0.20175826086956733,2621.446,SOFT,15.0,2,15.0,False
2021,77,100.690625,2,0.15413988095237488,2416.575,MEDIUM,3.0,2,3.0,False
2021,99,104.72764,2,0.2663111111111112,2618.191,HARD,14.0,2,14.0,False
2022,1,99.47664,2,0.042320000000005964,2486.916,SOFT,2.0,2,2.0,False
2022,3,102.87624,2,0.20319999999999935,2571.906,MEDIUM,18.0,2,18.0,False
2022,4,103.60691999999999,2,0.833303529411773,2590.173,MEDIUM,20.0,2,20.0,True
2022,6,102.81775999999999,2,-0.015088888888888059,2570.444,SOFT,17.0,2,17.0,False
2022,10,101.14912,2,0.15627555555555772,2528.728,SOFT,8.0,2,8.0,False
2022,11,99.8704,2,0.0775111111111147,2496.76,SOFT,4.0,2,4.0,False
2022,14,101.60776,3,-5.861977570020827e-16,2540.194,MEDIUM,10.0,2,10.0,True
2022,16,99.32440000000001,2,0.05654000000000064,2483.11,SOFT,1.0,2,1.0,False
2022,18,102.51116,2,0.32971199999999795,2562.779,SOFT,16.0,2,16.0,False
2022,20,100.89479999999999,2,0.05115799999999992,2522.37,SOFT,7.0,2,7.0,False
2022,22,101.66015999999999,2,0.1117085714285781,2541.504,SOFT,11.0,2,11.0,False
2022,23,102.43423999999999,2,0.13533454545454035,2560.8559999999998,SOFT,15.0,2,15.0,False
2022,24,101.80684,2,0.2787127272727243,2545.171,SOFT,13.0,2,13.0,False
2022,27,103.14528,2,0.33686666666666215,2578.632,SOFT,19.0,2,19.0,True
2022,31,101.54111999999999,2,0.216742500000002,2538.528,SOFT,9.0,2,9.0,False
2022,44,100.406,2,0.011544999999999845,2510.15,HARD,5.0,2,5.0,False
2022,47,102.11348,2,0.008408695652170887,2552.837,MEDIUM,14.0,2,14.0,False
2022,55,99.76344,2,0.07219789473684711,2494.0860000000002,SOFT,3.0,2,3.0,False
2022,63,100.61764,2,0.227266666666668,2515.441,SOFT,6.0,2,6.0,False
2022,77,101.68956,2,0.30547999999999204,2542.239,SOFT,12.0,2,12.0,False
2023,1,98.92616,2,0.34383999999999604,2473.154,SOFT,1.0,2,1.0,False
2023,2,101.26104,2,0.09887777777777672,2531.526,SOFT,13.0,2,13.0,False
2023,4,102.39788,4,0.15923999999999938,2559.947,SOFT,18.0,3,18.0,False
2023,10,101.25587999999999,3,-5.861977570020827e-16,2531.397,HARD,12.0,2,12.0,True
2023,11,99.49024,2,0.3798470588235267,2487.256,SOFT,3.0,2,3.0,False
2023,14,100.27348,2,0.32399999999999807,2506.837,SOFT,6.0,2,6.0,False
2023,16,99.46696,2,0.12110400000000653,2486.674,SOFT,2.0,2,2.0,False
2023,18,100.5168,2,0.15139999999999434,2512.92,SOFT,8.0,2,8.0,False
2023,20,101.76296,2,0.11462857142857004,2544.074,HARD,17.0,2,17.0,False
2023,21,101.49655999999999,2,-0.01962000000000202,2537.4139999999998,HARD,15.0,2,15.0,False
2023,22,101.10624,2,-0.05785999999999886,2527.656,HARD,11.0,2,11.0,False
2023,23,101.04523999999999,2,-0.06972266666666202,2526.131,SOFT,10.0,2,10.0,False
2023,24,101.44012000000001,2,0.19641400000000303,2536.003,HARD,14.0,2,14.0,False
2023,27,101.68180000000001,2,-0.06291733333333752,2542.045,HARD,16.0,2,16.0,False
2023,31,102.51360000000001,4,0.3620729411764609,2562.84,HARD,19.0,3,19.0,False
2023,44,100.19824,2,0.17217999999999678,2504.956,HARD,5.0,2,5.0,False
2023,55,100.04152,2,0.17396000000000528,2501.038,SOFT,4.0,2,4.0,False
2023,63,100.45732,2,0.21030666666666606,2511.433,SOFT,7.0,2,7.0,False
2023,77,100.79252000000001,2,0.08829777777777849,2519.813,HARD,9.0,2,9.0,False
2023,81,103.27576923076923,1,4.372570681600617e-15,1342.585,SOFT,16.0,1,,
